[1429, 2764, 1753, 1176, 1156, 1059, 853, 445, 313, 134, 85, 33, 12, 2, 4, 1, 0, 0, 0, 0]
[1106, 171, 428, 275, 184, 157, 81, 61, 35, 19, 7, 1, 0, 1, 0, 0, 0, 0, 0, 0]
[1999, 434, 1024, 786, 509, 479, 314, 244, 136, 76, 31, 14, 5, 2, 1, 0, 0, 0, 0, 0]
[1133, 272, 629, 733, 459, 559, 425, 398, 275, 150, 67, 35, 12, 3, 1, 0, 0, 0, 0, 0]
[875, 3008, 1333, 2288, 2461, 1600, 1348, 1031, 714, 372, 208, 81, 33, 11, 8, 1, 0, 0, 0, 0]
[846, 124, 334, 265, 150, 115, 51, 24, 9, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[600, 93, 518, 468, 308, 310, 445, 329, 227, 159, 87, 46, 18, 2, 3, 0, 0, 0, 0, 0]
[689, 766, 178, 403, 429, 220, 119, 101, 60, 36, 12, 13, 2, 1, 0, 0, 0, 0, 0, 0]
[760, 1956, 1142, 1569, 1694, 1307, 1090, 744, 436, 238, 136, 50, 26, 5, 3, 0, 0, 1, 0, 0]
[252, 24, 56, 26, 10, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[234, 66, 129, 471, 233, 33, 36, 53, 40, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[726, 863, 1203, 1072, 873, 615, 474, 367, 222, 154, 95, 70, 35, 10, 1, 2, 2, 0, 0, 0]
[1128, 342, 876, 539, 357, 293, 222, 108, 51, 33, 13, 3, 1, 1, 1, 0, 0, 0, 0, 0]
[470, 1030, 1687, 1108, 1068, 1344, 881, 755, 580, 428, 220, 140, 72, 35, 9, 1, 2, 0, 0, 0]
[462, 2836, 1184, 969, 1013, 640, 571, 356, 314, 196, 113, 69, 28, 10, 1, 2, 1, 0, 0, 0]
[1501, 472, 745, 656, 261, 185, 97, 66, 37, 17, 16, 6, 0, 1, 0, 1, 0, 0, 1, 0]
[90, 47, 44, 44, 8, 17, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[1124, 1654, 1857, 1166, 1304, 1227, 642, 492, 268, 146, 85, 32, 11, 8, 2, 5, 0, 0, 0, 0]
[2110, 351, 1341, 1123, 1257, 1186, 1031, 765, 515, 348, 224, 135, 63, 23, 14, 3, 0, 1, 1, 1]
[1053, 535, 1335, 1530, 1063, 1144, 1088, 671, 455, 311, 137, 43, 20, 11, 4, 0, 0, 0, 0, 1]
[300, 1382, 597, 539, 500, 241, 216, 130, 70, 30, 11, 3, 0, 0, 0, 0, 0, 1, 0, 0]
[379, 172, 398, 279, 118, 149, 61, 60, 41, 26, 6, 5, 3, 0, 0, 0, 0, 0, 0, 0]
[568, 138, 188, 174, 108, 119, 27, 20, 8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
[45, 248, 129, 37, 36, 26, 28, 11, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[75, 204, 235, 158, 295, 276, 260, 184, 138, 114, 84, 55, 35, 13, 5, 2, 2, 0, 0, 0]
[46, 22, 61, 59, 43, 24, 34, 36, 14, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]
